Region	Vietnam	Indonesia	Thailand	Philippines	Cambodia	Japan	Korea	Others	China	HK_Mac
NewTaipeiCity	"16,096"	"3,503"	"1,598"	"1,400"	434	888	"1,275"	"3,472"	"65,014"	"5,041"
TaipeiCity	"5,012"	"1,063"	476	583	183	"1,501"	358	"4,098"	"40,633"	"3,509"
TaoyuanCity	"9,231"	"4,558"	"2,245"	"1,497"	299	340	351	"1,344"	"34,433"	"1,278"
TaichungCity	"9,606"	"2,188"	822	736	743	453	109	"1,729"	"35,533"	"1,199"
TainanCity	"7,301"	"1,046"	495	380	328	225	126	660	"21,070"	520
KaohsiungCity	"10,838"	"2,041"	639	832	438	453	83	"1,382"	"41,438"	996
YilanCounty	"2,127"	446	113	84	130	40	106	85	"4,754"	105
HsinchuCounty	"2,171"	"2,385"	309	490	52	82	8	457	"6,609"	141
MiaoliCounty	"2,773"	"1,851"	256	236	70	28	32	175	"7,851"	96
ChanghuaCounty	"6,398"	"1,715"	468	358	407	62	9	286	"11,695"	201
NantouCounty	"3,085"	898	168	110	226	24	19	134	"5,452"	87
YunlinCounty	"4,039"	"1,787"	202	144	261	48	5	144	"8,599"	86
ChiayiCounty	"3,529"	"1,161"	136	116	168	12	8	87	"7,182"	73
PingtungCounty	"4,581"	"1,688"	197	789	238	48	3	263	"10,505"	186
TaitungCounty	930	253	30	84	42	25	11	89	"2,595"	35
HualienCounty	"1,038"	519	67	63	63	48	4	196	"5,883"	115
PenghuCounty	539	315	－	8	42	4	12	12	849	20
KeelungCity	"1,630"	277	102	88	67	54	13	203	"7,311"	224
HsinchuCity	"1,258"	650	161	237	23	168	18	519	"5,582"	205
ChiayiCity	868	193	45	56	63	22	69	47	"3,339"	66
KinmenCounty	167	112	4	4	3	2	7	12	"2,112"	40
LienchiangCounty	34	4	4	1	3	－	1	5	513	3
Unknown	－	－	－	－	－	－	－	－	612	－
